2025-09-25 13:23:01.018279 Epoch [004/100], Step [0350/1150], Loss1: 0.3663 Loss2: 0.4899 Loss3: 0.3510
2025-09-25 13:24:03.819468 Epoch [004/100], Step [0400/1150], Loss1: 0.3040 Loss2: 0.4482 Loss3: 0.2744
2025-09-25 13:25:06.633418 Epoch [004/100], Step [0450/1150], Loss1: 0.6041 Loss2: 0.7410 Loss3: 0.5853
2025-09-25 13:26:09.322118 Epoch [004/100], Step [0500/1150], Loss1: 0.3920 Loss2: 0.7366 Loss3: 0.3563
2025-09-25 13:27:12.145219 Epoch [004/100], Step [0550/1150], Loss1: 0.4608 Loss2: 0.7023 Loss3: 0.4472
2025-09-25 13:28:14.820743 Epoch [004/100], Step [0600/1150], Loss1: 0.5223 Loss2: 0.7494 Loss3: 0.4829
2025-09-25 13:29:17.669345 Epoch [004/100], Step [0650/1150], Loss1: 0.4612 Loss2: 0.5998 Loss3: 0.4357
2025-09-25 13:30:20.524866 Epoch [004/100], Step [0700/1150], Loss1: 0.2997 Loss2: 0.5425 Loss3: 0.2833
2025-09-25 13:31:23.415672 Epoch [004/100], Step [0750/1150], Loss1: 0.3619 Loss2: 0.6464 Loss3: 0.3351
2025-09-25 13:32:26.228730 Epoch [004/100], Step [0800/1150], Loss1: 0.3863 Loss2: 0.6647 Loss3: 0.3578
2025-09-25 13:33:29.170794 Epoch [004/100], Step [0850/1150], Loss1: 0.4241 Loss2: 0.4992 Loss3: 0.4046
2025-09-25 13:34:32.039392 Epoch [004/100], Step [0900/1150], Loss1: 0.4595 Loss2: 0.6847 Loss3: 0.4548
2025-09-25 13:35:34.751080 Epoch [004/100], Step [0950/1150], Loss1: 0.3895 Loss2: 0.4717 Loss3: 0.3701
2025-09-25 13:36:37.474866 Epoch [004/100], Step [1000/1150], Loss1: 0.2896 Loss2: 0.5635 Loss3: 0.2686
2025-09-25 13:37:40.312928 Epoch [004/100], Step [1050/1150], Loss1: 0.4231 Loss2: 0.5477 Loss3: 0.3804
2025-09-25 13:38:43.244450 Epoch [004/100], Step [1100/1150], Loss1: 0.3683 Loss2: 0.4803 Loss3: 0.3405
2025-09-25 13:39:45.646978 Epoch [004/100], Step [1150/1150], Loss1: 0.3393 Loss2: 0.6035 Loss3: 0.3188
2025-09-25 13:39:54.987316 Epoch [005/100], Step [0001/1150], Loss1: 0.3588 Loss2: 0.6377 Loss3: 0.3328
2025-09-25 13:40:56.782440 Epoch [005/100], Step [0050/1150], Loss1: 0.4082 Loss2: 0.6399 Loss3: 0.3907
2025-09-25 13:41:59.781080 Epoch [005/100], Step [0100/1150], Loss1: 0.3395 Loss2: 0.6586 Loss3: 0.3248
2025-09-25 13:43:03.194199 Epoch [005/100], Step [0150/1150], Loss1: 0.3315 Loss2: 0.4927 Loss3: 0.3060
