[2025-06-25 11:29:01.128353] => [Epoch Num: 011/100] => [Global Step: 0000/0168] => [Loss: 1.7872]
[2025-06-25 11:30:12.234359] => [Epoch Num: 011/100] => [Global Step: 0020/0168] => [Loss: 1.7858]
[2025-06-25 11:31:23.355362] => [Epoch Num: 011/100] => [Global Step: 0040/0168] => [Loss: 1.7949]
[2025-06-25 11:32:34.704302] => [Epoch Num: 011/100] => [Global Step: 0060/0168] => [Loss: 1.7787]
[2025-06-25 11:33:46.004687] => [Epoch Num: 011/100] => [Global Step: 0080/0168] => [Loss: 1.7730]
[2025-06-25 11:34:57.033634] => [Epoch Num: 011/100] => [Global Step: 0100/0168] => [Loss: 1.7890]
[2025-06-25 11:36:08.305041] => [Epoch Num: 011/100] => [Global Step: 0120/0168] => [Loss: 1.7806]
[2025-06-25 11:37:19.296398] => [Epoch Num: 011/100] => [Global Step: 0140/0168] => [Loss: 1.7801]
[2025-06-25 11:38:30.581907] => [Epoch Num: 011/100] => [Global Step: 0160/0168] => [Loss: 1.7806]
[2025-06-25 11:39:01.621822] => [Epoch Num: 012/100] => [Global Step: 0000/0168] => [Loss: 1.7731]
[2025-06-25 11:40:12.664702] => [Epoch Num: 012/100] => [Global Step: 0020/0168] => [Loss: 1.7540]
[2025-06-25 11:41:23.841337] => [Epoch Num: 012/100] => [Global Step: 0040/0168] => [Loss: 1.7583]
[2025-06-25 11:42:34.889943] => [Epoch Num: 012/100] => [Global Step: 0060/0168] => [Loss: 1.7631]
[2025-06-25 11:43:46.131287] => [Epoch Num: 012/100] => [Global Step: 0080/0168] => [Loss: 1.7480]
[2025-06-25 11:44:57.364912] => [Epoch Num: 012/100] => [Global Step: 0100/0168] => [Loss: 1.7413]
[2025-06-25 11:46:08.400687] => [Epoch Num: 012/100] => [Global Step: 0120/0168] => [Loss: 1.7473]
[2025-06-25 11:47:19.617490] => [Epoch Num: 012/100] => [Global Step: 0140/0168] => [Loss: 1.7654]
[2025-06-25 11:48:30.567584] => [Epoch Num: 012/100] => [Global Step: 0160/0168] => [Loss: 1.7363]
[2025-06-25 11:49:01.719405] => [Epoch Num: 013/100] => [Global Step: 0000/0168] => [Loss: 1.7412]
[2025-06-25 11:50:12.748982] => [Epoch Num: 013/100] => [Global Step: 0020/0168] => [Loss: 1.7523]
[2025-06-25 11:51:23.819389] => [Epoch Num: 013/100] => [Global Step: 0040/0168] => [Loss: 1.7386]
[2025-06-25 11:52:34.849249] => [Epoch Num: 013/100] => [Global Step: 0060/0168] => [Loss: 1.7398]
[2025-06-25 11:53:46.008954] => [Epoch Num: 013/100] => [Global Step: 0080/0168] => [Loss: 1.7402]
[2025-06-25 11:54:57.104393] => [Epoch Num: 013/100] => [Global Step: 0100/0168] => [Loss: 1.7357]
[2025-06-25 11:56:07.960924] => [Epoch Num: 013/100] => [Global Step: 0120/0168] => [Loss: 1.7323]
[2025-06-25 11:57:19.027052] => [Epoch Num: 013/100] => [Global Step: 0140/0168] => [Loss: 1.7370]
[2025-06-25 11:58:29.909672] => [Epoch Num: 013/100] => [Global Step: 0160/0168] => [Loss: 1.7401]
