[2025-06-24 10:06:02 AM-Train.py-INFO:CCD-Train]
[2025-06-24 10:08:46 AM-Train.py-INFO:CCD-Train]
[2025-06-24 10:14:10 AM-Train.py-INFO:CCD-Train]
[2025-06-24 10:16:40 AM-Train.py-INFO:CCD-Train]
[2025-06-25 10:39:01 AM-Train.py-INFO:#TRAIN#:Epoch [006/100], Step [0000/0168], Loss: 2.0314]
[2025-06-25 10:40:12 AM-Train.py-INFO:#TRAIN#:Epoch [006/100], Step [0020/0168], Loss: 2.0264]
[2025-06-25 10:41:23 AM-Train.py-INFO:#TRAIN#:Epoch [006/100], Step [0040/0168], Loss: 2.0455]
[2025-06-25 10:42:34 AM-Train.py-INFO:#TRAIN#:Epoch [006/100], Step [0060/0168], Loss: 2.0369]
[2025-06-25 10:43:45 AM-Train.py-INFO:#TRAIN#:Epoch [006/100], Step [0080/0168], Loss: 2.0004]
[2025-06-25 10:44:56 AM-Train.py-INFO:#TRAIN#:Epoch [006/100], Step [0100/0168], Loss: 2.0136]
[2025-06-25 10:46:08 AM-Train.py-INFO:#TRAIN#:Epoch [006/100], Step [0120/0168], Loss: 2.0046]
[2025-06-25 10:47:18 AM-Train.py-INFO:#TRAIN#:Epoch [006/100], Step [0140/0168], Loss: 1.9777]
[2025-06-25 10:48:29 AM-Train.py-INFO:#TRAIN#:Epoch [006/100], Step [0160/0168], Loss: 1.9710]
[2025-06-25 10:49:01 AM-Train.py-INFO:#TRAIN#:Epoch [007/100], Step [0000/0168], Loss: 1.9737]
[2025-06-25 10:50:12 AM-Train.py-INFO:#TRAIN#:Epoch [007/100], Step [0020/0168], Loss: 1.9716]
[2025-06-25 10:51:23 AM-Train.py-INFO:#TRAIN#:Epoch [007/100], Step [0040/0168], Loss: 1.9524]
[2025-06-25 10:52:34 AM-Train.py-INFO:#TRAIN#:Epoch [007/100], Step [0060/0168], Loss: 1.9453]
[2025-06-25 10:53:45 AM-Train.py-INFO:#TRAIN#:Epoch [007/100], Step [0080/0168], Loss: 1.9580]
[2025-06-25 10:54:56 AM-Train.py-INFO:#TRAIN#:Epoch [007/100], Step [0100/0168], Loss: 1.9310]
[2025-06-25 10:56:07 AM-Train.py-INFO:#TRAIN#:Epoch [007/100], Step [0120/0168], Loss: 1.9240]
[2025-06-25 10:57:18 AM-Train.py-INFO:#TRAIN#:Epoch [007/100], Step [0140/0168], Loss: 1.9216]
